date,US1M,US3M,US6M,US1Y,US2Y,US3Y,US5Y,US7Y,US10Y,US20Y,US30Y,SMA_5,SMA_20,RSI_14,Signal,Position,Yield_Return,Strategy_Return,Cumulative_Yield,Cumulative_Strategy,Target,SMA_diff,pct_change,lag_1,lag_2,volatility_3d,momentum_3d,roc_5d,rolling_sharpe_5,z_score_10,volatility_band,momentum_z,roc_volatility,prob,Daily_Return,Cumulative_Return,Benchmark_CumReturn,MACD,BB_width,RSI_trend,PC1,PC2,PC3
2001-10-01,2.26,2.37,2.37,2.47,2.82,3.18,3.9,4.33,4.55,5.39,5.38,4.6690000000000005,4.783333333333333,35.122572769700994,-0.8240780436094737,0.0,-0.0108695652173912,-0.0,112.0689655172404,349.489762773154,0,-1.0582859391697965,-0.0108695652173912,1.247212526240455,1.2288284351291638,-0.505217914120238,-0.7176203338094794,-1.0341368373777986,-1.612755901926844,-1.4198051724243277,-0.9862257233957491,0.3505063519320192,-0.4495276126253449,0.4465537122048905,-0.0,1.0,0.9891304347826088,-2.212862289429894,0.006656669473094435,-0.5272447037368556,-3.1132332765337485,1.4317909071070805,-1.5500287163579538
2001-10-02,2.27,2.26,2.27,2.43,2.77,3.14,3.87,4.31,4.53,5.36,5.34,4.65,4.769333333333334,34.16974030579887,-0.8240780436094737,0.0,-0.0043956043956042,-0.0,111.57635467980198,349.489762773154,0,-1.1034638888086694,-0.0043956043956042,1.2027333927204933,1.246623068007303,-0.9744291949284233,-0.3561644802029087,-1.0947611490393268,-1.779096895688332,-1.2506287561976088,-1.0234372164452707,-0.26869542093853976,-0.4575828659377013,0.4435465848514354,-0.0,1.0,0.9847826086956525,-2.3612542164774597,0.14758292605308657,-0.6060743116523434,-3.091359705731699,1.6781480556144879,-1.6885720091416927
2001-10-03,2.21,2.23,2.24,2.38,2.77,3.14,3.86,4.29,4.5,5.34,5.32,4.631,4.758,32.73517338442795,-0.8240780436094737,0.0,-0.0066225165562914,-0.0,110.83743842364436,349.489762773154,1,-1.1727367449215926,-0.0066225165562914,1.1849417393125088,1.2021364858119543,-0.8751248110341266,-0.7256000301823515,-0.8743413322295954,-1.5896993971265199,-1.193965303010494,-1.1281454484541091,0.18870336355095207,-0.330166359449941,0.4695940580033695,-0.0,1.0,0.9782608695652176,-2.5201821581634434,0.2500086109752765,0.1291216714920635,-2.837771423363874,1.5258087168201842,-1.8207887466161097
2001-10-04,2.22,2.21,2.21,2.37,2.75,3.14,3.88,4.29,4.53,5.33,5.31,4.609,4.745333333333334,35.64486539009255,-0.8240780436094737,0.0,0.0066666666666668,0.0,111.576354679802,349.489762773154,0,-1.2570689175808154,0.0066666666666668,1.1582542592005314,1.1843418529338152,-1.06015183152788,-0.13354163490297105,-0.28606154794150196,-0.49035496622483715,-0.7468580413784317,-1.1152933585993592,-0.6491292430448161,-0.12118607865004573,0.4468934798609845,0.0,1.0,0.9847826086956526,-2.543228647496536,0.006894471339643095,0.8595778225773607,-1.521042647344219,1.8252578115546272,-2.298355208558697
2001-10-05,2.21,2.19,2.18,2.33,2.71,3.1,3.87,4.26,4.52,5.34,5.31,4.590999999999999,4.733666666666666,35.099826622838705,-0.8240780436094737,0.0,-0.0022075055187639,-0.0,111.3300492610828,349.489762773154,1,-1.31429432045671,-0.0022075055187639,1.1849417393125088,1.1576499036166057,-1.1564799752699426,-0.05884619484030729,-0.46452920756869076,-0.9376461142094951,-0.6862127114035753,-1.223004872298634,-0.7161106371896603,-0.16447331928641526,0.47076795203872634,-0.0,1.0,0.9826086956521742,-2.554436018127084,-0.29557605178330826,0.23329237767233027,-1.9324177416998398,2.0191160608337446,-2.2966858161745365
2001-10-09,2.24,2.22,2.2,2.35,2.74,3.16,3.96,4.35,4.62,5.42,5.39,4.58,4.724,44.27592327906,-0.8240780436094737,0.0,0.0221238938053098,0.0,113.79310344827488,349.489762773154,0,-1.3263417736937393,0.0221238938053098,1.1760459126085159,1.1843418529338152,-0.47405245261627954,0.9268354947140122,0.4389608031133244,0.5340862672056315,0.561264517575326,-0.609146396057272,-0.2961366610059701,0.23186980863207127,0.44797245294205845,0.0,1.0,1.004347826086957,-2.295310803223032,-0.5097701915744134,0.11308350723780893,0.21364065923652245,1.5629328360471653,-2.8461029495854735
2001-10-10,2.3,2.22,2.2,2.35,2.78,3.19,3.96,4.35,4.61,5.38,5.36,4.569,4.714666666666667,43.61187212478813,-0.8240780436094737,0.0,-0.0021645021645021,-0.0,113.54679802955567,349.489762773154,1,-1.34140109024003,-0.0021645021645021,1.2650041796484401,1.1754445364947448,-0.6722542587161818,0.6193751511833107,0.5016845093106,0.6193910379296333,0.7672805612761364,-0.6463566673373203,-0.3286220814389031,0.26035242876844455,0.4672710814730614,-0.0,1.0,1.0021739130434788,-2.088268751380328,-0.645674904766323,0.3102455197826324,0.3312381186120664,1.7807787635620997,-2.7507125146902824
2001-10-11,2.3,2.27,2.26,2.44,2.88,3.3,4.03,4.43,4.69,5.45,5.41,4.573,4.706666666666667,50.06425478613749,-0.8240780436094737,0.0,0.0173535791757049,0.0,115.51724137930934,349.489762773154,0,-1.2329740111067489,0.0173535791757049,1.2561083529444481,1.264417700885443,-0.005468504289709575,1.300430755535932,1.17875727217744,1.4285445845388498,1.8021820045785584,-0.6830936588448614,1.5543951024070242,0.62107660825588,0.445242810255088,0.0,1.0,1.0195652173913048,-1.710904520042483,-0.8939080721862623,0.0023307644766633944,1.8856010685200644,1.433011325747669,-3.0267758840924777
2001-10-12,2.31,2.25,2.24,2.4,2.81,3.23,4.01,4.41,4.68,5.45,5.42,4.583,4.698,49.30477517607756,-0.8240780436094737,0.0,-0.002132196162047,-0.0,115.27093596059012,349.489762773154,0,-1.0643096657883195,-0.002132196162047,1.3272749665763872,1.2555203844463734,-0.8855764119400931,0.459851227082511,0.9276440066204724,1.0488296898777854,1.305558433465374,-0.5677909315485109,-0.19872010445245225,0.5284624928950954,0.44597654096696504,-0.0,1.0,1.0173913043478264,-1.4178849628249424,-0.8772272197841285,0.14955434746118024,1.1125811762938864,2.0838009227911813,-2.4578738012297277
2001-10-15,2.33,2.25,2.22,2.39,2.78,3.18,3.97,4.36,4.62,5.4,5.38,4.585,4.690333333333332,44.9032603227738,-0.8240780436094737,0.0,-0.0128205128205127,-0.0,113.79310344827483,349.489762773154,0,-0.9769656298198345,-0.0128205128205127,1.3183791398723943,1.3266989159589313,-0.41645971111192853,0.09056193007306453,0.6247334917825434,0.607009038556998,0.5009493176060134,-0.2656816292607633,-0.7399066554439917,0.42608205642062646,0.4419563943620048,-0.0,1.0,1.004347826086957,-1.3128908528272962,-0.9013003897641677,-0.38568994063230333,0.20862091413291053,1.8523619219839036,-2.071532085527653
2001-10-16,2.32,2.22,2.2,2.37,2.77,3.16,3.93,4.32,4.59,5.38,5.35,4.589,4.683999999999999,42.843789002344586,-0.8240780436094737,0.0,-0.0064935064935065,-0.0,113.0541871921172,349.489762773154,0,-0.8835978672328441,-0.0064935064935065,1.2650041796484401,1.317801599519861,-0.8945599713207913,-0.7113590795126319,-0.16412416691123582,-0.15726796867935688,0.06849496247875408,-0.6655456662306326,-0.7839311871687078,-0.11049125566827711,0.44358868127850704,-0.0,1.0,0.9978260869565221,-1.2852441314567535,-0.8898905819480103,-0.23355552228347107,-1.1338303778677616,2.1694155435550413,-1.5240573686810595
2001-10-17,2.34,2.22,2.2,2.37,2.8,3.21,3.93,4.32,4.59,5.35,5.32,4.595,4.677333333333333,42.843789002344586,-0.8240780436094737,0.0,0.0,0.0,113.0541871921172,349.489762773154,0,-0.7691470614810634,0.0,1.2383166995364627,1.264417700885443,-0.9884270723726923,-0.6399717498733527,-0.10471708060001951,-0.08665581416762272,-0.012434011205540683,-0.6658110156603845,-0.7278056295413808,-0.07773729912919074,0.44207796383196885,0.0,1.0,0.9978260869565221,-1.2473497683215493,-0.939504534951857,0.7996101836775215,-0.8093038729556913,2.1791797084001883,-1.4670839658966073
2001-10-18,2.28,2.19,2.19,2.36,2.77,3.18,3.93,4.32,4.58,5.34,5.32,4.603,4.668333333333334,42.097372934106446,-0.8240780436094737,0.0,-0.0021786492374726,-0.0,112.80788177339802,349.489762773154,1,-0.6155420327089256,-0.0021786492374726,1.2383166995364627,1.2377257515682334,-1.4569209671233818,-0.27904793056225435,-0.6316557919387923,-1.6572650700854332,-0.30742477215669134,-1.3883749993980812,-0.6627548469046001,-0.17304425663050588,0.4693408495035366,-0.0,1.0,0.9956521739130441,-1.2255793072937635,-0.961162340647718,1.317608138589335,-1.6226140735130834,2.654561085448193,-1.138789238196382
2001-10-19,2.29,2.19,2.17,2.34,2.77,3.19,3.96,4.37,4.63,5.39,5.36,4.613,4.656333333333333,47.063345197597016,-0.8240780436094737,0.0,0.0109170305676855,0.0,114.03940886699408,349.489762773154,0,-0.4167590542979068,0.0109170305676855,1.2294208728324707,1.2377257515682334,-1.262181201304709,0.3140031580572102,-0.27963130855723556,-0.3967210924241209,0.3566108570235915,-0.9586697656160207,-0.6811568188008148,-0.13810789741734875,0.4455730661729872,0.0,1.0,1.0065217391304353,-1.0743646094824129,-1.094019470088746,1.1062533483591739,-0.38838148814858,2.4902961985948764,-1.3265120396547154
2001-10-22,2.29,2.22,2.18,2.35,2.79,3.22,3.98,4.37,4.63,5.38,5.36,4.6240000000000006,4.645,47.063345197597016,-0.8240780436094737,0.0,0.0,0.0,114.03940886699408,349.489762773154,1,-0.21496421257763398,0.0,1.2739000063524324,1.2288284351291638,-1.262181201304709,0.3140031580572102,0.07453959595996955,0.1755870839213298,0.19790832752603107,-1.2338716355715054,-0.7301805513951014,0.006884574710620385,0.45950569389022916,0.0,1.0,1.0065217391304353,-0.9420609146282937,-1.1549993773609006,1.491410609786107,0.12697224043716804,2.696602294535789,-1.2934959771419667
2001-10-23,2.32,2.2,2.16,2.37,2.81,3.24,4.01,4.4,4.66,5.4,5.38,4.628,4.638333333333334,50.0446646717476,-0.8240780436094737,0.0,0.0064794816414688,0.0,114.77832512315172,349.489762773154,0,-0.11858458668139782,0.0064794816414688,1.2739000063524324,1.2733150173245125,-1.0728427731341637,0.6127936728133557,0.4352650545479962,1.0715864789662568,0.7817369292962556,-1.345768682014076,-0.32453521841011546,0.10045574739368414,0.44254771828381445,0.0,1.0,1.0130434782608702,-0.7549187570258162,-1.2600822799049851,2.035815850284788,1.242053855881154,2.709947259973121,-1.443395908449065
2001-10-24,2.3,2.17,2.13,2.32,2.72,3.15,3.96,4.34,4.61,5.32,5.32,4.628,4.632000000000001,45.45033125748644,-0.8240780436094737,0.0,-0.0107296137339055,-0.0,113.54679802955567,349.489762773154,0,-0.06135918380550344,-0.0107296137339055,1.3005874864644098,1.2733150173245125,-1.0810935500506629,-0.1309489201315081,0.13498548361526322,0.2455036164626082,-0.3529183776568113,-1.0118483046924793,-0.7116084562894665,0.0369890843455671,0.4425670231616543,-0.0,1.0,1.002173913043479,-0.7167113594067938,-1.3904635140992145,1.242440021869116,-0.1828173486910123,2.651758800332262,-0.9992819554166643
2001-10-25,2.27,2.14,2.09,2.26,2.63,3.06,3.89,4.29,4.56,5.28,5.28,4.615,4.6226666666666665,41.36110156479134,-0.8240780436094737,0.0,-0.0108459869848157,-0.0,112.3152709359596,349.489762773154,0,-0.09448968020733035,-0.0108459869848157,1.2561083529444481,1.300006966641722,-0.6036133939406363,-0.49960055169942336,-0.10550042603130053,-0.10880042512434149,-1.2380916966480784,-0.8295584690942301,-0.08087296940546784,-0.06993941276137297,0.4415657542097958,-0.0,1.0,0.9913043478260877,-0.7956261514912677,-1.4052823339625278,0.3483905407792764,-1.1818111266568454,2.2254998781784425,-0.8260337651054449
2001-10-26,2.26,2.14,2.09,2.26,2.63,3.06,3.88,4.26,4.53,5.27,5.27,4.6,4.619000000000001,39.08866769009116,-0.8240780436094737,0.0,-0.0065789473684209,-0.0,111.576354679802,349.489762773154,0,-0.19689303272210582,-0.0065789473684209,1.2116292194244855,1.2555203844463734,-0.5992345475618582,-0.9358119457907224,-0.5804970707108423,-1.019299882875341,-1.5427054940132499,-1.1098292485937329,0.8062973583365651,-0.22952757769417387,0.4419762435216773,-0.0,1.0,0.984782608695653,-0.9179623556988823,-1.367077084658488,0.5454958476205064,-2.1117292749335617,2.096656347469429,-0.6449610355122783
