,entry,exit,n_trades,win_rate,total_return,max_drawdown
0,0.5,0.49,0,,-0.3664082091283931,-0.7840475762605124
1,0.5,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
2,0.5,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
3,0.5,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
4,0.5,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
5,0.5,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
6,0.5,0.42999999999999994,2,1.0,0.0498782624524996,0.0
7,0.5,0.41999999999999993,0,,0.0,0.0
8,0.5,0.4099999999999999,0,,0.0,0.0
9,0.51,0.49,0,,-0.3664082091283931,-0.7840475762605124
10,0.51,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
11,0.51,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
12,0.51,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
13,0.51,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
14,0.51,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
15,0.51,0.42999999999999994,2,1.0,0.0498782624524996,0.0
16,0.51,0.41999999999999993,0,,0.0,0.0
17,0.51,0.4099999999999999,0,,0.0,0.0
18,0.52,0.49,0,,-0.3664082091283931,-0.7840475762605124
19,0.52,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
20,0.52,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
21,0.52,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
22,0.52,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
23,0.52,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
24,0.52,0.42999999999999994,2,1.0,0.0498782624524996,0.0
25,0.52,0.41999999999999993,0,,0.0,0.0
26,0.52,0.4099999999999999,0,,0.0,0.0
27,0.53,0.49,0,,-0.3664082091283931,-0.7840475762605124
28,0.53,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
29,0.53,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
30,0.53,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
31,0.53,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
32,0.53,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
33,0.53,0.42999999999999994,2,1.0,0.0498782624524996,0.0
34,0.53,0.41999999999999993,0,,0.0,0.0
35,0.53,0.4099999999999999,0,,0.0,0.0
36,0.54,0.49,0,,-0.3664082091283931,-0.7840475762605124
37,0.54,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
38,0.54,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
39,0.54,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
40,0.54,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
41,0.54,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
42,0.54,0.42999999999999994,2,1.0,0.0498782624524996,0.0
43,0.54,0.41999999999999993,0,,0.0,0.0
44,0.54,0.4099999999999999,0,,0.0,0.0
45,0.55,0.49,0,,-0.3664082091283931,-0.7840475762605124
46,0.55,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
47,0.55,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
48,0.55,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
49,0.55,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
50,0.55,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
51,0.55,0.42999999999999994,2,1.0,0.0498782624524996,0.0
52,0.55,0.41999999999999993,0,,0.0,0.0
53,0.55,0.4099999999999999,0,,0.0,0.0
54,0.56,0.49,0,,-0.3664082091283931,-0.7840475762605124
55,0.56,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
56,0.56,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
57,0.56,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
58,0.56,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
59,0.56,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
60,0.56,0.42999999999999994,2,1.0,0.0498782624524996,0.0
61,0.56,0.41999999999999993,0,,0.0,0.0
62,0.56,0.4099999999999999,0,,0.0,0.0
63,0.5700000000000001,0.49,0,,-0.3664082091283931,-0.7840475762605124
64,0.5700000000000001,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
65,0.5700000000000001,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
66,0.5700000000000001,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
67,0.5700000000000001,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
68,0.5700000000000001,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
