date,US1M,US3M,US6M,US1Y,US2Y,US3Y,US5Y,US7Y,US10Y,US20Y,US30Y,SMA_5,SMA_20,RSI_14,Signal,Position,Yield_Return,Strategy_Return,Cumulative_Yield,Cumulative_Strategy
1962-01-02,,,,3.22,,3.7,3.88,,4.06,4.07,,,,,0,0,,,,
1962-01-03,,,,3.24,,3.7,3.87,,4.03,4.07,,,,,0,0,-0.0073891625615761,-0.0,99.26108374384238,100.0
1962-01-04,,,,3.24,,3.69,3.86,,3.99,4.06,,,,,0,0,-0.009925558312655,-0.0,98.27586206896554,100.0
1962-01-05,,,,3.26,,3.71,3.89,,4.02,4.07,,,,,0,0,0.007518796992481,0.0,99.01477832512316,100.0
1962-01-08,,,,3.31,,3.71,3.91,,4.03,4.08,,,,,0,0,0.0024875621890549,0.0,99.2610837438424,100.0
1962-01-09,,,,3.32,,3.74,3.93,,4.05,4.08,,,,,0,0,0.0049627791563273,0.0,99.7536945812808,100.0
1962-01-10,,,,3.33,,3.75,3.94,,4.07,4.09,,,,,0,0,0.0049382716049384,0.0,100.24630541871925,100.0
1962-01-11,,,,3.33,,3.77,3.94,,4.08,4.08,,,,,0,0,0.0024570024570023,0.0,100.49261083743843,100.0
1962-01-12,,,,3.3,,3.76,3.95,,4.08,4.09,,,,,0,0,0.0,0.0,100.49261083743843,100.0
1962-01-15,,,,3.32,,3.79,3.96,,4.1,4.1,,4.051,,,0,0,0.0049019607843137,0.0,100.98522167487684,100.0
1962-01-16,,,,3.3,,3.81,3.98,,4.13,4.11,,4.058,,,0,0,0.0073170731707317,0.0,101.72413793103448,100.0
1962-01-17,,,,3.3,,3.81,3.97,,4.12,4.1,,4.066999999999999,,,0,0,-0.0024213075060531,-0.0,101.47783251231527,100.0
1962-01-18,,,,3.27,,3.79,3.96,,4.11,4.1,,4.079,,,0,0,-0.0024271844660194,-0.0,101.23152709359606,100.0
1962-01-19,,,,3.27,,3.78,3.95,,4.11,4.1,,4.087999999999999,,64.65446141219843,0,0,0.0,0.0,101.23152709359606,100.0
1962-01-22,,,,3.25,,3.76,3.93,,4.09,4.09,,4.093999999999999,,55.79411286373118,0,0,-0.0048661800486619,-0.0,100.73891625615762,100.0
1962-01-23,,,,3.25,,3.77,3.94,,4.11,4.1,,4.1,,61.47914483632835,0,0,0.0048899755501223,0.0,101.23152709359606,100.0
1962-01-24,,,,3.24,,3.76,3.93,,4.1,4.1,,4.103,,57.49755202575613,0,0,-0.0024330900243311,-0.0,100.98522167487684,100.0
1962-01-25,,,,3.27,,3.77,3.94,,4.11,4.12,,4.106,,60.268621071441416,0,0,0.0024390243902441,0.0,101.23152709359606,100.0
